Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial,,,,,,,,,,,,
Anonidium_usambarense,na,na,species,Annonaceae,EX,TAN,WT,Phan.,WP,Extinct,Anonidium_usambarense,,,,,,,,,,,,
Anthurium_leuconeurum,na,na,species,Araceae,EW,MXT,WT,Cham.,WP,Extinct,Anthurium_leuconeurum,,,,,,,,,,,,
Antidaphne_schottii,na,na,species,Santalaceae,EW,BZL,WT,Hemipar._cham.,WP,Extinct,Antidaphne_schottii,,,,,,,,,,,,
Antidesma_montanum,var,montanum,var,,,,,,,Synonym,Antidesma_discolor,,,,,,,,,,,,
Aphyllorchis_gollani,na,na,species,Orchidaceae,CR,CHT,G,Holomycotrophic_rhizome_geophyte,HP,Rediscovered,Aphyllorchis_gollani,,,,,,,,,,,,
Aphyllorchis_gollani,na,na,species,Orchidaceae,CR,WHM,G,Holomycotrophic_rhizome_geophyte,HP,Rediscovered,Aphyllorchis_gollani,,,,,,,,,,,,
Arachnothryx_cordovana,na,na,species,,,,,,,Synonym,Rondeletia_brandegeeana,,,,,,,,,,,,
Ardisia_marcellanum,na,na,species,Primulaceae,EW,CMN,WT,Nanophan.,WP,Extinct,Ardisia_marcellanum,,,,,,,,,,,,
Ardisia_marcellanum,na,na,species,,,,,,,Synonym,Ardisia_oligantha,,,,,,,,,,,,
Ardisia_schlechteri,na,na,species,Primulaceae,VU,CMN,WT,Nanophan.,WP,Rediscovered,Ardisia_schlechteri,,,,,,,,,,,,
Ardisia_schlechteri,na,na,species,Primulaceae,VU,GAB,WT,Nanophan.,WP,Rediscovered,Ardisia_schlechteri,,,,,,,,,,,,
Arenaria_livermorensis,na,na,species,Caryophyllaceae,EX,TEX,G,hel.,HP,Extinct,Arenaria_livermorensis,,,,,,,,,,,,
Arenaria_serpyllifolia,na,na,species,,,,,,,Synonym,Minuartia_olonensis,,,,,,,,,,,,
Argentipallium_spiceri,na,na,species,Asteraceae,CR,TAS,S,Cham.,WP,Rediscovered,Argentipallium_spiceri,,,,,,,,,,,,
Argentipallium_spiceri,na,na,species,,,,,,,Synonym,Helichrysum_spiceri,,,,,,,,,,,,
Argyreia_soutteri,na,na,species,Convolvulaceae,EX,QLD,WT,Cl._Hem.,HP,Extinct,Argyreia_soutteri,,,,,,,,,,,,
Argyrolobium_angustissimum,na,na,species,Fabaceae,CR,CPP,S,Tuber_geophyte,HP,Rediscovered,Argyrolobium_angustissimum,,,,,,,,,,,,
Argyrolobium_crinitum,na,na,species,Fabaceae,CR,CPP,S,Cham.,WP,Rediscovered,Argyrolobium_crinitum,,,,,,,,,,,,
Argyrolobium_splendens,na,na,species,Fabaceae,CR,CPP,S,Hemicr._or_cham.,WP,Rediscovered,Argyrolobium_splendens,,,,,,,,,,,,
Argyroxiphium_virescens,na,na,species,Asteraceae,EX,HAW,A,Cham.,WP,Extinct,Argyroxiphium_virescens,,,,,,,,,,,,
Argyroxiphium_virescens,na,na,species,,,,,,,Synonym,Argyroxiphium_forbesii,,,,,,,,,,,,
Armeria_alpina,na,na,species,,,,,,,Synonym,Armeria_pocutica,,,,,,,,,,,,
Armeria_arcuata,na,na,species,Plumbaginaceae,EX,POR,S,Cham.,WP,Extinct,Armeria_arcuata,,,,,,,,,,,,
Armeria_neglecta,na,na,species,Plumbaginaceae,EW,POR,G,Hemicr.,WP,Extinct,Armeria_neglecta,,,,,,,,,,,,
Artemisia_insipida,na,na,species,Asteraceae,CR,FRA,G,Hemicr.,WP,Rediscovered,Artemisia_insipida,,,,,,,,,,,,
Asclepias_bicuspis,na,na,species,Apocynaceae,CR,NAT,S,Cham.,WP,Rediscovered,Asclepias_bicuspis,,,,,,,,,,,,
Aspalathus_variegata,na,na,species,Fabaceae,EX,CPP,S,Cham.,WP,Extinct,Aspalathus_variegata,,,,,,,,,,,,
Astilbe_crenatiloba,na,na,species,Saxifragaceae,EX,NCA,G,Hemicr.,WP,Extinct,Astilbe_crenatiloba,,,,,,,,,,,,
Astilbe_crenatiloba,na,na,species,Saxifragaceae,EX,TEN,G,Hemicr.,WP,Extinct,Astilbe_crenatiloba,,,,,,,,,,,,
Astiria_rosea,na,na,species,Malvaceae,EX,MAU,WT,Nanophan._or_phan.,WP,Extinct,Astiria_rosea,,,,,,,,,,,,
Astragalus_agraniotii,na,na,species,Fabaceae,CR,GRC,G,Cham.,WP,Rediscovered,Astragalus_agraniotii,,,,,,,,,,,,
Astragalus_arianus,na,na,species,Fabaceae,EW,TKM,G,Hemicr.,WP,Extinct,Astragalus_arianus,,,,,,,,,,,,
Astragalus_columbianus,na,na,species,Fabaceae,CR,WAS,G,Hemicr.,WP,Rediscovered,Astragalus_columbianus,,,,,,,,,,,,
Astragalus_desereticus,na,na,species,Fabaceae,CR,UTA,G,Hemicr.,WP,Rediscovered,Astragalus_desereticus,,,,,,,,,,,,
Astragalus_humillimus,na,na,species,Fabaceae,EX,COL,G,Hemicr.,WP,Extinct,Astragalus_humillimus,,,,,,,,,,,,
Astragalus_humillimus,na,na,species,Fabaceae,EX,NWM,G,Hemicr.,WP,Extinct,Astragalus_humillimus,,,,,,,,,,,,
Astragalus_linifolius,na,na,species,Fabaceae,EX,COL,G,Hemicr.,WP,Extinct,Astragalus_linifolius,,,,,,,,,,,,
Astragalus_nitidiflorus,na,na,species,Fabaceae,CR,SPA,G,Hemicr.,WP,Rediscovered,Astragalus_nitidiflorus,,,,,,,,,,,,
Astragalus_physocalyx,na,na,species,Fabaceae,EN,BUL,G,Hemicr._or_cham.,WP,Rediscovered,Astragalus_physocalyx,,,,,,,,,,,,
Astragalus_physocalyx,na,na,species,Fabaceae,EN,GRC,G,Hemicr._or_cham.,WP,Rediscovered,Astragalus_physocalyx,,,,,,,,,,,,
Astragalus_physocalyx,na,na,species,Fabaceae,EN,YUG,G,Hemicr._or_cham.,WP,Rediscovered,Astragalus_physocalyx,,,,,,,,,,,,
Astragalus_pseudocylindraceus,na,na,species,Fabaceae,EX,TUR,G,Cham.,WP,Extinct,Astragalus_pseudocylindraceus,,,,,,,,,,,,
Astronidium_floribundum,na,na,species,Melastomataceae,EW,FIJ,WT,Nanophan._or_phan.,WP,Extinct,Astronidium_floribundum,,,,,,,,,,,,
Astronidium_kasiense,na,na,species,Melastomataceae,EW,FIJ,WT,Phan.,WP,Extinct,Astronidium_kasiense,,,,,,,,,,,,
Atriplex_tularensis,na,na,species,Amaranthaceae,CR,CAL,S,Ther.,A,Rediscovered,Atriplex_tularensis,,,,,,,,,,,,
Ayenia_limitaris,na,na,species,,,,,,,Synonym,Nephropetalum_pringlei,,,,,,,,,,,,
Bacopa_rotundifolia,na,na,species,,,,,,,Synonym,Bacopa_simulans,,,,,,,,,,,,
Badula_ovalifolia,na,na,species,Primulaceae,CR,REU,WT,Nanophan.,WP,Rediscovered,Badula_ovalifolia,,,,,,,,,,,,
Badula_platyphylla,na,na,species,Primulaceae,CR,MAU,WT,Nanophan.,WP,Rediscovered,Badula_platyphylla,,,,,,,,,,,,
Bakerella_clavata,subsp,sechellensis,subsp,,,,,,,Synonym,Loranthus_sechellensis,,,,,,,,,,,,
Ballantinia_antipoda,na,na,species,Brassicaceae,VU,TAS,S,Therophyte,A,Rediscovered,Ballantinia_antipoda,,,,,,,,,,,,
Ballantinia_antipoda,na,na,species,Brassicaceae,VU,VIC,S,Therophyte,A,Rediscovered,Ballantinia_antipoda,,,,,,,,,,,,
Banara_wilsonii,na,na,species,Salicaceae,EW,CUB,MT,Phanerophyte,WP,Extinct,Banara_wilsonii,,,,,,,,,,,,
