Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial
Asclepias_bicuspis,na,na,species,Apocynaceae,Critically endangered,NAT,subtropical,Cham.,WP,Rediscovered,Asclepias_bicuspis
Aspalathus_variegata,na,na,species,Fabaceae,Extinct,CPP,subtropical,Cham.,WP,Extinct,Aspalathus_variegata
Astilbe_crenatiloba,na,na,species,Saxifragaceae,Extinct,NCA,temperate,Hemicr.,WP,Extinct,Astilbe_crenatiloba
Astilbe_crenatiloba,na,na,species,Saxifragaceae,Extinct,TEN,temperate,Hemicr.,WP,Extinct,Astilbe_crenatiloba
Astiria_rosea,na,na,species,Malvaceae,Extinct,MAU,wet tropical,Nanophan._or_phan.,WP,Extinct,Astiria_rosea
Astragalus_agraniotii,na,na,species,Fabaceae,Critically endangered,GRC,temperate,Cham.,WP,Rediscovered,Astragalus_agraniotii
Astragalus_arianus,na,na,species,Fabaceae,Extinct in the wild,TKM,temperate,Hemicr.,WP,Extinct,Astragalus_arianus
Astragalus_columbianus,na,na,species,Fabaceae,Critically endangered,WAS,temperate,Hemicr.,WP,Rediscovered,Astragalus_columbianus
Astragalus_desereticus,na,na,species,Fabaceae,Critically endangered,UTA,temperate,Hemicr.,WP,Rediscovered,Astragalus_desereticus
Astragalus_humillimus,na,na,species,Fabaceae,Extinct,COL,temperate,Hemicr.,WP,Extinct,Astragalus_humillimus
Astragalus_humillimus,na,na,species,Fabaceae,Extinct,NWM,temperate,Hemicr.,WP,Extinct,Astragalus_humillimus
Astragalus_linifolius,na,na,species,Fabaceae,Extinct,COL,temperate,Hemicr.,WP,Extinct,Astragalus_linifolius
Astragalus_nitidiflorus,na,na,species,Fabaceae,Critically endangered,SPA,temperate,Hemicr.,WP,Rediscovered,Astragalus_nitidiflorus
Astragalus_physocalyx,na,na,species,Fabaceae,Endangered,BUL,temperate,Hemicr._or_cham.,WP,Rediscovered,Astragalus_physocalyx
Astragalus_physocalyx,na,na,species,Fabaceae,Endangered,GRC,temperate,Hemicr._or_cham.,WP,Rediscovered,Astragalus_physocalyx
Astragalus_physocalyx,na,na,species,Fabaceae,Endangered,YUG,temperate,Hemicr._or_cham.,WP,Rediscovered,Astragalus_physocalyx
Astragalus_pseudocylindraceus,na,na,species,Fabaceae,Extinct,TUR,temperate,Cham.,WP,Extinct,Astragalus_pseudocylindraceus
Astronidium_floribundum,na,na,species,Melastomataceae,Extinct in the wild,FIJ,wet tropical,Nanophan._or_phan.,WP,Extinct,Astronidium_floribundum
Astronidium_kasiense,na,na,species,Melastomataceae,Extinct in the wild,FIJ,wet tropical,Phan.,WP,Extinct,Astronidium_kasiense
Atriplex_tularensis,na,na,species,Amaranthaceae,Critically endangered,CAL,subtropical,Ther.,A,Rediscovered,Atriplex_tularensis
Ayenia_limitaris,na,na,species,,,,,,,Synonym,Nephropetalum_pringlei
Bacopa_rotundifolia,na,na,species,,,,,,,Synonym,Bacopa_simulans
Badula_ovalifolia,na,na,species,Primulaceae,Critically endangered,REU,wet tropical,Nanophan.,WP,Rediscovered,Badula_ovalifolia
Badula_platyphylla,na,na,species,Primulaceae,Critically endangered,MAU,wet tropical,Nanophan.,WP,Rediscovered,Badula_platyphylla
Bakerella_clavata,subsp,sechellensis,subsp,,,,,,,Synonym,Loranthus_sechellensis
Ballantinia_antipoda,na,na,species,Brassicaceae,Vulnerable,TAS,subtropical,Therophyte,A,Rediscovered,Ballantinia_antipoda
Ballantinia_antipoda,na,na,species,Brassicaceae,Vulnerable,VIC,subtropical,Therophyte,A,Rediscovered,Ballantinia_antipoda
Banara_wilsonii,na,na,species,Salicaceae,Extinct in the wild,CUB,seasonally dry tropical,Phanerophyte,WP,Extinct,Banara_wilsonii
Barleria_natalensis,na,na,species,Acanthaceae,Extinct,NAT,subtropical,Phanerophyte,WP,Extinct,Barleria_natalensis
Basananthe_cupricola,na,na,species,Passifloraceae,Extinct,ZAI,seasonally dry tropical,Hemicr.,WP,Extinct,Basananthe_cupricola
Begonia_brevicaulis,na,na,species,Begoniaceae,Critically endangered,ASS,wet tropical,Chamaephyte,WP,Rediscovered,Begonia_brevicaulis
Begonia_bufoderma,na,na,species,Begoniaceae,Extinct in the wild,cult,wet tropical,Cham.,WP,Extinct,Begonia_bufoderma
Begonia_cowellii,na,na,species,Begoniaceae,Extinct,CUB,wet tropical,Tuber_geophyte_or_cham.,WP,Extinct,Begonia_cowellii
Begonia_eiromischa,na,na,species,Begoniaceae,Extinct,MLY,wet tropical,Cham._or_nanophan.,WP,Extinct,Begonia_eiromischa
Begonia_linearifolia,na,na,species,Begoniaceae,Extinct,CUB,wet tropical,Chamaephyte,WP,Extinct,Begonia_linearifolia
Begonia_macrotis,na,na,species,Begoniaceae,Extinct in the wild,cult,wet tropical,Cham.,WP,Extinct,Begonia_macrotis
Begonia_morelii,na,na,species,Begoniaceae,Extinct in the wild,cult,wet tropical,Cham.,WP,Extinct,Begonia_morelii
Begonia_trullifolia,na,na,species,Begoniaceae,Extinct,MDG,tropical general,Cham.,WP,Extinct,Begonia_trullifolia
Beilschmiedia_preussii,na,na,species,Lauraceae,Extinct,CMN,wet tropical,Phan.,WP,Extinct,Beilschmiedia_preussii
Bertiera_bistipulata,na,na,species,Rubiaceae,Extinct,MAU,wet tropical,Nanophan._or_phan.,WP,Extinct,Bertiera_bistipulata
Betula_halophila,na,na,species,Betulaceae,Extinct,CHX,temperate,Phan.,WP,Extinct,Betula_halophila
Betula_jinpingensis,na,na,species,Betulaceae,Extinct in the wild,CHC,temperate,Phan.,WP,Extinct,Betula_jinpingensis
Beyeria_cygnorum,na,na,species,Euphorbiaceae,Extinct in the wild,WAU,desert/dry shrubland,Phanerophyte,WP,Extinct,Beyeria_cygnorum
Beyeria_lepidopetala,na,na,species,Euphorbiaceae,Extinct,WAU,desert/dry shrubland,Phanerophyte,WP,Extinct,Beyeria_lepidopetala
Billardiera_laxiflora,na,na,species,Pittosporaceae,Extinct in the wild,WAU,desert/dry shrubland,Nanophan.,WP,Extinct,Billardiera_laxiflora
Billbergia_buchholtzii,na,na,species,Bromeliaceae,Extinct in the wild,cult,wet tropical,Hemicr._or_cham.,WP,Extinct,Billbergia_buchholtzii
Blutaparon_rigidum,na,na,species,Amaranthaceae,Extinct,GAL,seasonally dry tropical,Nanophan.,WP,Extinct,Blutaparon_rigidum
Boechera_fructicosa,na,na,species,Brassicaceae,Vulnerable,MNT,temperate,Hemicryptophyte,HP,Rediscovered,Boechera_fructicosa
Boechera_fructicosa,na,na,species,Brassicaceae,Vulnerable,WYO,temperate,Hemicryptophyte,HP,Rediscovered,Boechera_fructicosa
Boechera_gunnisoniana,na,na,species,Brassicaceae,Vulnerable,COL,temperate,Hemicr._or_cham.,WP,Rediscovered,Boechera_gunnisoniana
Boechera_gunnisoniana,na,na,species,Brassicaceae,Vulnerable,UTA,temperate,Hemicr._or_cham.,WP,Rediscovered,Boechera_gunnisoniana
Bonania_myricifolia,na,na,species,Euphorbiaceae,Extinct,CUB,wet tropical,Nanophan.,WP,Extinct,Bonania_myricifolia
Bouzetia_maritima,na,na,species,Rutaceae,Extinct in the wild,NWC,wet tropical,Nanophan.,WP,Extinct,Bouzetia_maritima
Brachyscome_muelleri,na,na,species,Asteraceae,Endangered,SOA,subtropical,Therophyte,A,Rediscovered,Brachyscome_muelleri
Brachystelma_occidentale,na,na,species,Apocynaceae,Critically endangered,CPP,subtropical,Tuber_geophyte,HP,Rediscovered,Brachystelma_occidentale
Brassica_procumbens,na,na,species,Brassicaceae,Vulnerable,COR,subtropical,Cham.,WP,Rediscovered,Brassica_procumbens
Brassica_procumbens,na,na,species,Brassicaceae,Vulnerable,ITA,subtropical,Cham.,WP,Rediscovered,Brassica_procumbens
Brassica_procumbens,na,na,species,Brassicaceae,Vulnerable,ALG,subtropical,Cham.,WP,Rediscovered,Brassica_procumbens
Brassica_procumbens,na,na,species,Brassicaceae,Vulnerable,TUN,subtropical,Cham.,WP,Rediscovered,Brassica_procumbens
Brickellia_chenopodina,na,na,species,Asteraceae,Extinct,NWM,subtropical,Phanerophyte,WP,Extinct,Brickellia_chenopodina
Bromus_brachystachys,na,na,species,Poaceae,Vulnerable,GER,temperate,Ther.,A,Rediscovered,Bromus_brachystachys
Bromus_brachystachys,na,na,species,Poaceae,Vulnerable,PAL,temperate,Ther.,A,Rediscovered,Bromus_brachystachys
Bromus_bromoideus,na,na,species,Poaceae,Extinct in the wild,BGM,temperate,Ther.,A,Extinct,Bromus_bromoideus
Bromus_bromoideus,na,na,species,Poaceae,Extinct in the wild,GER,temperate,Ther.,A,Extinct,Bromus_bromoideus
Bromus_bromoideus,na,na,species,Poaceae,Extinct in the wild,NET,temperate,Ther.,A,Extinct,Bromus_bromoideus
Bromus_bromoideus,na,na,species,Poaceae,Extinct in the wild,FRA,temperate,Ther.,A,Extinct,Bromus_bromoideus
Bromus_interruptus,na,na,species,Poaceae,Extinct in the wild,GRB,temperate,Ther.,A,Extinct,Bromus_interruptus
Buchanania_mangoides,na,na,species,Anacardiaceae,Data deficient,QLD,tropical general,Phan.,WP,Rediscovered,Buchanania_mangoides
Bulbophyllum_herbula,na,na,species,Orchidaceae,Extinct in the wild,REU,wet tropical,Pseudobulb_cham.,WP,Extinct,Bulbophyllum_herbula
Bulbophyllum_janus,na,na,species,Orchidaceae,Extinct,SUM,wet tropical,Pseudobulb_epiphyte,E,Extinct,Bulbophyllum_janus
Bulbophyllum_pusillum,na,na,species,Orchidaceae,Extinct,MAU,wet tropical,Pseudobulb_epiphyte,E,Extinct,Bulbophyllum_pusillum
Bulbostylis_neglecta,na,na,species,Cyperaceae,Critically endangered,STH,tropical general,Ther.,A,Rediscovered,Bulbostylis_neglecta
Bulbostylis_warei,na,na,species,Cyperaceae,Vulnerable,ALA,temperate,Hemicr.,WP,Rediscovered,Bulbostylis_warei
Bulbostylis_warei,na,na,species,Cyperaceae,Vulnerable,FLA,temperate,Hemicr.,WP,Rediscovered,Bulbostylis_warei
